split,event_type,metric_level,identifier,observations,signals,mean_signal_net_return_pct,mean_baseline_net_return_pct,lift_bps,lift_ci_lower,lift_ci_upper,mean_return_ci_lower,mean_return_ci_upper,win_rate,executable_trades,executable_mean_net_return_pct,executable_win_rate
development,decline,pooled,pooled,0,0,,,,,,,,,0,,
development,runup,pooled,pooled,0,0,,,,,,,,,0,,
holdout,decline,pooled,pooled,26620,2341,-0.979449,-0.765513,-21.393567,-54.078555,12.556656,-1.304289,-0.668823,0.411790,868,-0.942773,0.418203
holdout,runup,pooled,pooled,26620,234,0.258650,0.156267,10.238333,-103.220270,124.515187,-0.817804,1.395988,0.491453,203,0.284723,0.492611
validation,decline,pooled,pooled,19757,1816,-1.343259,-0.356916,-98.634383,-151.294198,-45.900568,-1.808990,-0.837871,0.415198,651,-0.989094,0.443932
validation,runup,pooled,pooled,19757,170,-0.071576,-0.142299,7.072294,-95.613019,123.821956,-0.961742,0.831844,0.452941,150,-0.112441,0.446667
holdout,decline,ticker,AAPL,605,56,-2.426988,-1.279870,-114.711800,,,,,0.267857,21,-3.703110,0.190476
holdout,decline,ticker,ABBV,605,51,-2.144331,-1.401635,-74.269600,,,,,0.372549,18,-1.178567,0.555556
holdout,decline,ticker,AMD,605,45,0.081553,0.492171,-41.061800,,,,,0.422222,17,0.000259,0.470588
holdout,decline,ticker,AMZN,605,48,-0.627585,0.383254,-101.083900,,,,,0.479167,21,-1.220752,0.380952
holdout,decline,ticker,ARKK,605,55,-0.194458,-0.316967,12.250900,,,,,0.490909,21,-1.404900,0.476190
holdout,decline,ticker,ARM,605,47,-0.482772,-0.654253,17.148100,,,,,0.574468,16,0.184787,0.562500
holdout,decline,ticker,AVGO,605,47,-3.200579,-1.001451,-219.912800,,,,,0.319149,18,-2.980228,0.333333
holdout,decline,ticker,BAC,605,57,-1.628730,-0.057886,-157.084400,,,,,0.280702,18,-1.363294,0.333333
holdout,decline,ticker,BLK,605,60,-1.419245,-0.077877,-134.136800,,,,,0.300000,23,-1.286943,0.304348
holdout,decline,ticker,C,605,37,-1.523181,-0.434349,-108.883200,,,,,0.324324,14,-1.148121,0.357143
holdout,decline,ticker,CAT,605,42,0.108645,-0.938650,104.729500,,,,,0.523810,16,-0.484950,0.437500
holdout,decline,ticker,COP,605,67,-1.223501,-0.497400,-72.610100,,,,,0.388060,23,-0.645765,0.478261
holdout,decline,ticker,CRWD,605,41,0.939454,0.350580,58.887400,,,,,0.487805,17,2.101465,0.529412
holdout,decline,ticker,CVX,605,55,-0.373565,-0.451371,7.780600,,,,,0.363636,20,-0.162175,0.450000
holdout,decline,ticker,DDOG,605,44,-1.702516,-0.928832,-77.368400,,,,,0.386364,16,-3.399413,0.250000
holdout,decline,ticker,DE,605,52,-1.995890,-0.625648,-137.024200,,,,,0.365385,22,-1.664555,0.409091
holdout,decline,ticker,GOOGL,605,46,-2.459661,-0.349972,-210.968900,,,,,0.391304,18,-1.884294,0.444444
holdout,decline,ticker,GS,605,38,-0.353676,-0.552537,19.886100,,,,,0.421053,14,-0.689593,0.357143
